original_text,refined_text
"안녕하세요 저는 한국에 유학하는 학생이에요","안녕하세요, 저는 한국에 유학하고 있는 학생입니다."
"오늘 날씨가 정말 좋네요 나가서 놀고싶어요","오늘 날씨가 정말 좋네요. 나가서 놀고 싶어요."
"한국 음식이 너무 맛있어요 특히 김치찌개가 제일 좋아해요","한국 음식이 너무 맛있어요. 특히 김치찌개를 제일 좋아해요."
"어제 친구랑 같이 영화 봤는데 재미있었어요","어제 친구와 함께 영화를 봤는데 재미있었어요."
"숙제가 너무 많아서 스트레스받아요","숙제가 너무 많아서 스트레스를 받아요."
"교수님께서 설명해주신 내용이 이해하기 어려웠어요","교수님께서 설명해주신 내용을 이해하기 어려웠어요."
"한국어 공부하는 것이 생각보다 어려워요","한국어를 공부하는 것이 생각보다 어려워요."
"도서관에서 공부하는게 집중이 잘 돼요","도서관에서 공부하는 것이 집중이 잘 돼요."
"한국 문화에 대해서 더 알고싶어요","한국 문화에 대해서 더 알고 싶어요."
"친구들과 한국어로 대화하는게 재미있어요","친구들과 한국어로 대화하는 것이 재미있어요."
"지하철을 타고 학교에 가는 길이 복잡해요","지하철을 타고 학교에 가는 길이 복잡해요."
"한국의 사계절이 정말 아름다워요","한국의 사계절이 정말 아름다워요."
"카페에서 공부하면서 커피마시는게 좋아요","카페에서 공부하면서 커피를 마시는 것이 좋아요."
"한국 드라마를 보면서 한국어 연습해요","한국 드라마를 보면서 한국어를 연습해요."
"학교 생활이 즐겁지만 가끔 힘들어요","학교 생활이 즐겁지만 가끔 힘들어요."
